mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
371.6517425775528,1.5374418497085571,5.618935823440552,0.45218348503112793,64,0.2,300,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-122.89514943358606,-98.586396484375,-110.74077295898053,12.154376474605527,78,-44.65148790700945,-41.60219192504883,-43.12683991602914,1.5246479909803092,64
332.9028923511505,0.5953488349914551,5.4947508573532104,0.5504547357559204,64,0.2,300,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.61892833911618,-168.4437655639648,-133.53134695154048,34.91241861242431,97,-42.23887452874401,-44.56867218017578,-43.4037733544599,1.164898825715884,67
395.35708928108215,7.205815553665161,5.703073024749756,0.2624030113220215,64,0.2,300,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.9978349667432,-151.94365859985345,-125.97074678329832,25.972911816555126,93,-88.03544939004819,-88.24930572509766,-88.14237755757293,0.10692816752473533,126
336.61232221126556,2.316888928413391,5.1549941301345825,0.04819595813751221,64,0.2,300,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.3112866002025,-99.99788665771484,-99.65458662895867,0.3433000287561754,45,-47.44803171010239,-86.56961822509766,-67.00882496760002,19.560793257497632,111
382.55333375930786,6.659400463104248,5.2825000286102295,0.16684675216674805,64,0.2,300,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.99789812275071,-99.9990005493164,-99.99844933603356,0.0005512132828471294,51,-86.50293747520357,-94.01937866210938,-90.26115806865647,3.7582205934529043,132
59.13320350646973,0.10627627372741699,4.839832186698914,0.10323059558868408,128,0.1,100,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-123.78748683479492,-99.07369018554687,-111.43058851017089,12.356898324624026,79,-79.56884497944918,-33.4091682434082,-56.48900661142869,23.07983836802049,100
68.5039769411087,0.42884695529937744,4.80099892616272,0.039873600006103516,128,0.1,100,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.44505972949617,-97.7392293548584,-98.09214454217728,0.35291518731888516,10,-37.824489298680255,-34.41374588012695,-36.1191175894036,1.7053717092766512,16
59.60957634449005,0.07055270671844482,4.835894823074341,0.11661338806152344,128,0.1,100,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-97.57933420138221,-99.0260629272461,-98.30269856431416,0.723364362931946,15,-36.27447263096483,-40.34189987182617,-38.3081862513955,2.033713620430671,35
68.05462265014648,2.0014524459838867,4.753042221069336,0.004904508590698242,128,0.1,100,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.34271000348949,-99.99805091857911,-99.1703804610343,0.8276704575448122,30,-47.42119387892552,-86.7468490600586,-67.08402146949206,19.662827590566536,112
60.01056778430939,0.17976820468902588,4.883046984672546,0.016524195671081543,128,0.1,100,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-112.97730777867096,-189.5250042724607,-151.25115602556582,38.27384824689487,108,-33.534016963319516,-41.403289794921875,-37.468653379120695,3.9346364158011795,26
68.33596289157867,0.555047869682312,4.906413316726685,0.04902005195617676,128,0.1,100,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-105.22632962006458,-206.3300122070312,-155.77817091354788,50.55184129348331,112,-86.8216655292009,-90.55796813964844,-88.68981683442468,1.868151305223769,128
119.59846067428589,0.18126893043518066,4.874489784240723,0.07653164863586426,128,0.1,200,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.34934472297705,-99.59673027038573,-98.9730374966814,0.6236927737043416,26,-36.381406689137165,-35.15053176879883,-35.765969228968,0.6154374601691686,12
132.69623911380768,0.12249243259429932,4.807360529899597,0.01270759105682373,128,0.1,200,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.88707829693465,-99.53320327758782,-99.21014078726122,0.32306249032658485,32,-33.36173370579917,-34.638397216796875,-34.00006546129802,0.6383317554988537,5
117.79605221748352,1.956226110458374,4.867246747016907,0.027530789375305176,128,0.1,200,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.12756822271123,-113.83309318542476,-106.480330704068,7.352762481356763,70,-31.916237649385923,-51.64336395263672,-41.77980080101132,9.863563151625398,53
132.30481207370758,1.6269129514694214,4.925826191902161,0.02014791965484619,128,0.1,200,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.08441523635392,-284.48995208740234,-191.28718366187815,93.20276842552421,127,-39.10467808326629,-46.482303619384766,-42.79349085132553,3.688812768059236,60
